type,key,EN,FR,ES,PT,source_files,usage,,,,
variable,INTENTION_request_support.short,Intention to request Red Cross support,Intention de demander le soutien de la Croix-Rouge,Intención de solicitar apoyo de la Cruz Roja,Intenção de solicitar apoio da Cruz Vermelha,question_code,Question short label,,,,
variable,INTENTION_shared_feedback.long,How likely are you to provide your feedback to the Red Cross?,Quelle est la probabilité que vous donniez votre avis à la Croix-Rouge ?,¿Qué probabilidad hay de que dé su opinión a la Cruz Roja?,Qual é a probabilidade de dar os seus comentários à Cruz Vermelha?,question_code,Question long label,,,,
variable,INTENTION_shared_feedback.short,Intention to provide feedback to Red Cross,Intention de donner un retour à la Croix-Rouge,Intención de dar retroalimentación a la Cruz Roja,Intenção de dar comentários à Cruz Vermelha,question_code,Question short label,,,,
variable,INTENTION_shared_information.long,How likely are you to share the information that you receive from the Red Cross with others?,Quelle est la probabilité que vous partagiez avec d’autres les informations reçues de la Croix-Rouge ?,¿Qué probabilidad hay de que comparta con otras personas la información que recibe de la Cruz Roja?,Qual é a probabilidade de partilhar com outras pessoas as informações que recebe da Cruz Vermelha?,question_code,Question long label,,,,
variable,INTENTION_shared_information.short,Intention to share Red Cross information,Intention de partager les informations de la Croix-Rouge,Intención de compartir información de la Cruz Roja,Intenção de partilhar informações da Cruz Vermelha,question_code,Question short label,,,,
variable,INTENTION_volunteer.long,How likely are you to volunteer at the Red Cross?,Quelle est la probabilité que vous deveniez volontaire à la Croix-Rouge ?,¿Qué probabilidad hay de que sea voluntario en la Cruz Roja?,Qual é a probabilidade de ser voluntário/a na Cruz Vermelha?,question_code,Question long label,,,,
variable,INTENTION_volunteer.short,Intention to volunteer at the Red Cross,Intention de devenir volontaire à la Croix-Rouge,Intención de ser voluntario en la Cruz Roja,Intenção de ser voluntário/a na Cruz Vermelha,question_code,Question short label,,,,
variable,COMP_accessible.long,Do you think it is easy to talk to a staff or volunteer from the Red Cross?,Pensez-vous qu’il est facile de parler à un membre du personnel ou à un volontaire de la Croix-Rouge ?,¿Cree que es fácil hablar con un miembro del personal o un voluntario de la Cruz Roja?,Considera que é fácil falar com um membro da equipa ou voluntário/a da Cruz Vermelha?,question_code,Question long label,,,,
variable,COMP_accessible.short,Accessible,Accessibilité,Accesibilidad,Acessibilidade,question_code,Question short label,,,,
variable,COMP_awareness.long,Do you think the Red Cross understands the needs of the people it supports?,Pensez-vous que la Croix-Rouge comprend les besoins des personnes qu’elle soutient ?,¿Cree que la Cruz Roja comprende las necesidades de las personas a las que apoya?,Considera que a Cruz Vermelha compreende as necessidades das pessoas que apoia?,question_code,Question long label,,,,
variable,COMP_awareness.short,Awareness,Compréhension,Conocimiento,Conhecimento,question_code,Question short label,,,,
variable,COMP_capability.long,Do you think the Red Cross is capable of helping people?,Pensez-vous que la Croix-Rouge est capable d’aider les personnes ?,¿Cree que la Cruz Roja es capaz de ayudar a las personas?,Considera que a Cruz Vermelha é capaz de ajudar as pessoas?,question_code,Question long label,,,,
variable,COMP_capability.short,Capability,Capacité,Capacidad,Capacidade,question_code,Question short label,,,,
variable,COMP_effectiveness.long,Do you think the Red Cross provides the right kinds of assistance to the people it supports?,Pensez-vous que la Croix-Rouge fournit les types d’aide appropriés aux personnes qu’elle soutient ?,¿Cree que la Cruz Roja proporciona los tipos de ayuda adecuados a las personas a las que apoya?,Considera que a Cruz Vermelha presta os tipos adequados de assistência às pessoas que apoia?,question_code,Question long label,,,,
variable,COMP_effectiveness.short,Effectiveness,Efficacité,Eficacia,Eficácia,question_code,Question short label,,,,
variable,COMP_feedback.long,Do you feel comfortable submitting a complaint to the Red Cross?,Vous sentiriez-vous à l’aise pour soumettre une plainte à la Croix-Rouge ?,¿Se sentiría cómodo presentando una queja a la Cruz Roja?,Sente-se à vontade para apresentar uma queixa à Cruz Vermelha?,question_code,Question long label,,,,
variable,COMP_feedback.short,Openness,Ouverture,Apertura,Abertura,question_code,Question short label,,,,
variable,COMP_openness.long,Do you think the feedback received by the Red Cross influences the way they work and is used by them to improve their services?,Pensez-vous que les retours reçus par la Croix-Rouge influencent sa manière de travailler et sont utilisés pour améliorer ses services ?,¿Cree que los comentarios recibidos por la Cruz Roja influyen en su forma de trabajar y se utilizan para mejorar sus servicios?,Considera que os comentários recebidos pela Cruz Vermelha influenciam a sua forma de trabalhar e são utilizados para melhorar os seus serviços?,question_code,Question long label,,,,
variable,COMP_openess.short,Openess,Ouverture,Apertura,Abertura,question_code,Question short label,,,,
variable,COMP_openness.short,Openness,Ouverture,Apertura,Abertura,question_code,Question short label,,,,
variable,COMP_relevance.long,Do you think the Red Cross provides useful information on what they do?,Pensez-vous que la Croix-Rouge fournit des informations utiles sur ses activités ?,¿Cree que la Cruz Roja proporciona información útil sobre lo que hace?,Considera que a Cruz Vermelha fornece informações úteis sobre o que faz?,question_code,Question long label,,,,
variable,COMP_relevance.short,Relevance,Pertinence,Pertinencia,Relevância,question_code,Question short label,,,,
variable,COMP_responsiveness.long,Do you think the Red Cross provides support to people in a timely manner?,Pensez-vous que la Croix-Rouge apporte son soutien aux personnes en temps utile ?,¿Cree que la Cruz Roja brinda apoyo a las personas de manera oportuna?,Considera que a Cruz Vermelha presta apoio às pessoas atempadamente?,question_code,Question long label,,,,
variable,COMP_responsiveness.short,Responsiveness,Réactivité,Capacidad de respuesta,Capacidade de resposta,question_code,Question short label,,,,
variable,VALUES_Engagement.long,Do you think the Red Cross asks local communities what support they need?,Pensez-vous que la Croix-Rouge demande aux communautés locales de quel soutien elles ont besoin ?,¿Cree que la Cruz Roja pregunta a las comunidades locales qué apoyo necesitan?,Considera que a Cruz Vermelha pergunta às comunidades locais de que apoio necessitam?,question_code,Question long label,,,,
variable,VALUES_Engagement.short,Engagement,Engagement,Participación,Envolvimento,question_code,Question short label,,,,
variable,VALUES_fairness.long,Do you think the Red Cross provides support to the people who need it the most?,Pensez-vous que la Croix-Rouge apporte son soutien aux personnes qui en ont le plus besoin ?,¿Cree que la Cruz Roja brinda apoyo a las personas que más lo necesitan?,Considera que a Cruz Vermelha presta apoio às pessoas que mais precisam dele?,question_code,Question long label,,,,
variable,VALUES_fairness.short,Fairness,Équité,Equidad,Equidade,question_code,Question short label,,,,
variable,VALUES_inclusiveness.long,Do you think the Red Cross provides support to all people without discrimination?,Pensez-vous que la Croix-Rouge apporte son soutien à toutes les personnes sans discrimination ?,¿Cree que la Cruz Roja brinda apoyo a todas las personas sin discriminación?,Considera que a Cruz Vermelha presta apoio a todas as pessoas sem discriminação?,question_code,Question long label,,,,
variable,VALUES_inclusiveness.short,Inclusiveness,Inclusivité,Inclusión,Inclusão,question_code,Question short label,,,,
variable,VALUES_Integrity.long,Do you think the Red Cross is responsible in how its funds are spent?,Pensez-vous que la Croix-Rouge gère ses fonds de manière responsable ?,¿Cree que la Cruz Roja gestiona sus fondos de manera responsable?,Considera que a Cruz Vermelha é responsável na forma como utiliza os seus fundos?,question_code,Question long label,,,,
variable,VALUES_Integrity.short,Integrity,Intégrité,Integridad,Integridade,question_code,Question short label,,,,
variable,VALUES_kindness.long,"Do you think the Red Cross puts the people it supports and their needs first, above anything else?",Pensez-vous que la Croix-Rouge place les personnes qu’elle soutient et leurs besoins avant toute autre considération ?,¿Cree que la Cruz Roja pone a las personas a las que apoya y sus necesidades por encima de todo lo demás?,"Considera que a Cruz Vermelha coloca as pessoas que apoia e as suas necessidades em primeiro lugar, acima de tudo?",question_code,Question long label,,,,
variable,VALUES_kindness.short,Kindness,Bienveillance,Amabilidad,Bondade,question_code,Question short label,,,,
variable,VALUES_Neutrality.long,Do you think the Red Cross is independent of the government?,Pensez-vous que la Croix-Rouge est indépendante du gouvernement ?,¿Cree que la Cruz Roja es independiente del gobierno?,Considera que a Cruz Vermelha é independente do governo?,question_code,Question long label,,,,
variable,VALUES_Neutrality.short,Neutrality,Neutralité,Neutralidad,Neutralidade,question_code,Question short label,,,,
variable,VALUES_Respectfulness.long,Do you think the Red Cross respects people’s cultures and personal beliefs?,Pensez-vous que la Croix-Rouge respecte les cultures et les croyances personnelles des personnes ?,¿Cree que la Cruz Roja respeta las culturas y creencias personales de las personas?,Considera que a Cruz Vermelha respeita as culturas e crenças pessoais das pessoas?,question_code,Question long label,,,,
variable,VALUES_Respectfulness.short,Respectfulness,Respect,Respeto,Respeito,question_code,Question short label,,,,
variable,VALUES_Transparency.long,"If the Red Cross made a big mistake in how they provide support to people, do you think it will share it publicly?","Si la Croix-Rouge commettait une erreur importante dans la manière dont elle apporte son soutien, pensez-vous qu’elle la rendrait publique ?","Si la Cruz Roja cometiera un error importante en la forma de brindar apoyo, ¿cree que lo haría público?","Se a Cruz Vermelha cometesse um erro grave na forma como presta apoio às pessoas, considera que o partilharia publicamente?",question_code,Question long label,,,,
variable,VALUES_Transparency.short,Transparency,Transparence,Transparencia,Transparência,question_code,Question short label,,,,
answer,age_18_29,18-29,18-29,18-29,18-29,data / charts / tables,Age category,,,,
answer,age_20_29,20-29,20-29,20-29,20-29,data / charts / tables,Age category,,,,
answer,age_30_39,30-39,30-39,30-39,30-39,data / charts / tables,Age category,,,,
answer,age_40_49,40-49,40-49,40-49,40-49,data / charts / tables,Age category,,,,
answer,age_50_59,50-59,50-59,50-59,50-59,data / charts / tables,Age category,,,,
answer,age_60_plus,60+,60+,60+,60+,data / charts / tables,Age category,,,,
answer,dont_know,Don't know,Ne sais pas,No sabe,Não sei,survey / charts / tables,Response/data category,,,,
answer,education.none,None,Aucun,Ninguno,Nenhum,data / charts / tables,Education category,,,,
answer,education.noformal,No formal education,Pas d'éducation formelle,Ninguno,Sem educação formal,data / charts / tables,Education category,,,,
answer,education.primary,Primary school,Primaire,Primaria,Ensino básico,data / charts / tables,Education category,,,,
answer,education.professional,Professional,Formation professionnelle,Formación profesional,Profissional,data / charts / tables,Education category,,,,
answer,education.secondary,Secondary school,Secondaire,Secundaria,Ensino secundário,data / charts / tables,Education category,,,,
answer,education.university,University,Université,Universidad,Universidade,data / charts / tables,Education category,,,,
answer,education.vocational,Vocational,Formation professionnelle,Formación profesional,Formação profissional,data / charts / tables,Education category,,,,
answer,employment.employee,Employee,Salarié,Empleado,Empregado/a,data / charts / tables,Employment category,,,,
answer,employment.farming,Farming,Agriculture,Agricultura,Agricultura,data / charts / tables,Employment category,,,,
answer,employment.informal,Informal employment,Emploi informel,Empleo informal,Emprego informal,data / charts / tables,Employment category,,,,
answer,employment.irregular_informal,Irregular/Informal Employment,Emploi irrégulier/informel,Empleo irregular/informal,Emprego irregular/informal,data / charts / tables,Employment category,,,,
answer,employment.not_active,Not active,Inactif,Inactivo,Não ativo/a,data / charts / tables,Employment category,,,,
answer,employment.regular_partial,Regular/Partial Employment,Emploi régulier/partiel,Empleo regular/parcial,Emprego regular/a tempo parcial,data / charts / tables,Employment category,,,,
answer,employment.self_employment,Self-employment,Travail indépendant,Trabajo por cuenta propia,Trabalho por conta própria,data / charts / tables,Employment category,,,,
answer,employment.student,Student,Étudiant,Estudiante,Estudante,data / charts / tables,Employment category,,,,
answer,employment.unemployed,Unemployed,Sans emploi,Desempleado,Desempregado/a,data / charts / tables,Employment category,,,,
answer,gender.female,Female,Femme,Mujer,Feminino,survey / charts / tables,Response/data category,,,,
answer,gender.male,Male,Homme,Hombre,Masculino,survey / charts / tables,Response/data category,,,,
answer,gender.other_or_no_answer,Other or did not answer,Autre ou sans réponse,Otro o sin respuesta,Outro ou sem resposta,charts.R; tables.R,Gender category,,,,
answer,likely,Likely,Probable,Probable,Provável,survey / charts / tables,Response/data category,,,,
answer,mostly_agree,Mostly agree,Plutôt d’accord,Mayormente de acuerdo,Concordo em grande medida,charts_drivers.R,Response category/order,,,,
answer,mostly_disagree,Mostly disagree,Plutôt pas d’accord,Mayormente en desacuerdo,Discordo em grande medida,charts_drivers.R,Response category/order,,,,
answer,mostly_yes,Mostly yes,Plutôt oui,Mayormente sí,"Sim, em grande medida",survey / charts / tables,Response/data category,,,,
answer,na,N/A,N/A,N/A,N/D,data / charts / tables,Generic response category,,,,
answer,no,No,Non,No,Não,survey / charts / tables,Response/data category,,,,
answer,no_answer,No answer,Sans réponse,Sin respuesta,Sem resposta,survey / charts / tables,Response/data category,,,,
answer,no_data,No data,Données indisponibles,Datos no disponibles,Dados indisponíveis,survey / charts / tables,Response/data category,,,,
answer,not_applicable,Not applicable,Non applicable,No aplica,Não aplicável,data / charts / tables,Generic response category,,,,
answer,not_at_all,Not at all,Pas du tout,Para nada,De modo nenhum,survey / charts / tables,Response/data category,,,,
answer,not_so_much,Not so much,Plutôt non,No mucho,Não muito,survey / charts / tables,Response/data category,,,,
answer,other,Other,Autre,Otro,Outro,survey / charts / tables,Response/data category,,,,
answer,prefer_not_answer,Prefer not to answer,Préfère ne pas répondre,Prefiere no responder,Prefiro não responder,survey / charts / tables,Response/data category,,,,
answer,profile.receiving_support,People receiving support,Personnes recevant un soutien,Personas que reciben apoyo,Pessoas que recebem apoio,data / charts / tables,Respondent profile,,,,
answer,profile.recipient,Recipient,Bénéficiaire,Beneficiario,Beneficiário/a,data / charts / tables,Respondent profile,,,,
answer,profile.recipients,Recipients,Bénéficiaires,Beneficiarios,Beneficiários/as,data / charts / tables,Respondent profile,,,,
answer,profile.volunteer,Volunteer,Volontaire,Voluntario,Voluntário/a,data / charts / tables,Respondent profile,,,,
answer,profile.volunteers,Volunteers,Volontaires,Voluntarios,Voluntários/as,data / charts / tables,Respondent profile,,,,
answer,somewhat_positively,Somewhat positively,Plutôt positivement,Algo positivamente,De forma algo positiva,charts_drivers.R,Experience response category,,,,
answer,strongly_agree,Strongly agree,Tout à fait d’accord,Totalmente de acuerdo,Concordo plenamente,charts_sampling.R,Response category in notes,,,,
answer,strongly_disagree,Strongly disagree,Pas du tout d’accord,Totalmente en desacuerdo,Discordo plenamente,charts_drivers.R,Response category/order,,,,
answer,unlikely,Unlikely,Peu probable,Poco probable,Improvável,survey / charts / tables,Response/data category,,,,
answer,very_likely,Very likely,Très probable,Muy probable,Muito provável,survey / charts / tables,Response/data category,,,,
answer,very_positively,Very positively,Très positivement,Muy positivamente,De forma muito positiva,charts_drivers.R,Response category/order,,,,
answer,very_unlikely,Very unlikely,Très peu probable,Muy poco probable,Muito improvável,survey / charts / tables,Response/data category,,,,
answer,yes,Yes,Oui,Sí,Sim,survey / charts / tables,Response/data category,,,,
answer,yes_completely2,"Yes, completely","Oui, complètement","Sí, completamente","Sim, completamente",survey / charts / tables,Response/data category,,,,
answer,yes_completely,Yes completely,"Oui, complètement","Sí, completamente","Sim, completamente",survey / charts / tables,Response/data category,,,,
answer,yes_mostly,"Yes, mostly","Oui, dans l’ensemble","Sí, en su mayoría","Sim, em grande medida",charts_drivers.R,Experience response category,,,,
answer,age_18_39,18-39,18-39,18-39,18-39,data / charts / tables,Age category,,,,
answer,age_20_39,20-39,20-39,20-39,20-39,data / charts / tables,Age category,,,,
answer,age_40_59,40-59,40-59,40-59,40-59,data / charts / tables,Age category,,,,
answer,no_mostly,"No, mostly",Plutôt non,Mayormente no,"Não, em grande medida",charts_drivers.R,Experience response category,,,,
answer,somewhat_negatively,Somewhat negatively,Plutôt négativement,Algo negativamente,De forma algo negativa,charts_drivers.R,Perceived impact response category,,,,
answer,very_negatively,Very negatively,Très négativement,Muy negativamente,De forma muito negativa,charts_drivers.R,Perceived impact response category,,,,
variable,consent.short,Consent,Consentement,Consentimiento,Consentimento,question_code,Question short label,,,,
variable,consent.long,Do you agree to participate in this survey?,Acceptez-vous de participer à cette enquête ?,¿Acepta participar en esta encuesta?,Concorda em participar neste inquérito?,question_code,Question long label,,,,
variable,branch.short,Branch,Branche,Filial,Delegação,question_code,Question short label,,,,
variable,branch.long,Branch,Branche,Filial,Delegação,question_code,Question long label,,,,
variable,migrant.short,Country of Origin,Pays d’origine,País de origen,País de origem,question_code,Question short label,,,,
variable,migrant.long,What is your country of origin?,Quel est votre pays d’origine ?,¿Cuál es su país de origen?,Qual é o seu país de origem?,question_code,Question long label,,,,
variable,disabilities_vision.short,Vision Difficulty,Difficulté à voir,Dificultad para ver,Dificuldade de visão,question_code,Question short label,,,,
variable,disabilities_vision.long,"Do you have difficulty seeing, even when wearing glasses?","Avez-vous des difficultés à voir, même lorsque vous portez des lunettes ?","¿Tiene dificultad para ver, incluso cuando usa gafas?","Tem dificuldade em ver, mesmo quando usa óculos?",question_code,Question long label,,,,
variable,disabilities_hearing.short,Hearing Difficulty,Difficulté à entendre,Dificultad para oír,Dificuldade auditiva,question_code,Question short label,,,,
variable,disabilities_hearing.long,"Do you have difficulty hearing, even if using a hearing aid?","Avez-vous des difficultés à entendre, même lorsque vous utilisez un appareil auditif ?","¿Tiene dificultad para oír, incluso utilizando un audífono?","Tem dificuldade em ouvir, mesmo quando usa aparelho auditivo?",question_code,Question long label,,,,
variable,disabilities_mobility.short,Mobility Difficulty,Difficulté de mobilité,Dificultad de movilidad,Dificuldade de mobilidade,question_code,Question short label,,,,
variable,disabilities_mobility.long,Do you have difficulty walking or climbing stairs?,Avez-vous des difficultés à marcher ou à monter des escaliers ?,¿Tiene dificultad para caminar o subir escaleras?,Tem dificuldade em andar ou subir escadas?,question_code,Question long label,,,,
variable,disabilities_cognitive.short,Cognitive Difficulty,Difficulté cognitive,Dificultad cognitiva,Dificuldade cognitiva,question_code,Question short label,,,,
variable,disabilities_cognitive.long,Do you have difficulty remembering or concentrating?,Avez-vous des difficultés à vous souvenir ou à vous concentrer ?,¿Tiene dificultad para recordar o concentrarse?,Tem dificuldade em recordar-se ou concentrar-se?,question_code,Question long label,,,,
variable,disabilities_selfcare.short,Self-Care Difficulty,Difficulté à prendre soin de soi,Dificultad para el autocuidado,Dificuldade no autocuidado,question_code,Question short label,,,,
variable,disabilities_selfcare.long,"Do you have difficulty with self-care, such as washing all over or dressing?","Avez-vous des difficultés à prendre soin de vous, par exemple à vous laver entièrement ou à vous habiller ?","¿Tiene dificultad para el autocuidado, como lavarse completamente o vestirse?","Tem dificuldade em cuidar de si, por exemplo, a lavar-se ou a vestir-se?",question_code,Question long label,,,,
variable,disabilities_communication.short,Communication Difficulty,Difficulté de communication,Dificultad de comunicación,Dificuldade de comunicação,question_code,Question short label,,,,
variable,disabilities_communication.long,"Do you have difficulty communicating, for example, understanding or being understood [this is not related to a language barrier]?","Avez-vous des difficultés à communiquer, par exemple à comprendre ou à vous faire comprendre [sans lien avec une barrière linguistique] ?","¿Tiene dificultad para comunicarse, por ejemplo, para comprender o hacerse entender [sin relación con una barrera lingüística]?","Tem dificuldade em comunicar, por exemplo, em compreender ou fazer-se compreender [isto não está relacionado com uma barreira linguística]?",question_code,Question long label,,,,
variable,EXTRA_KNOWLEDGE_migration.short,Work with migrants (first aid and humanitarian aid),Soutien aux migrants (premiers secours et aide humanitaire),Apoyo a migrantes (primeros auxilios y ayuda humanitaria),Trabalho com migrantes (primeiros socorros e ajuda humanitária),question_code,Question short label,,,,
variable,EXTRA_KNOWLEDGE_migration.long,Do you know what the Red Cross does in this country?,Savez-vous ce que fait la Croix-Rouge dans ce pays ?,¿Sabe qué hace la Cruz Roja en este país?,Sabe o que faz a Cruz Vermelha neste país?,question_code,Question long label,,,,
variable,EXTRA_KNOWLEDGE_blood.short,Blood Donation,Don de sang,Donación de sangre,Doação de sangue,question_code,Question short label,,,,
variable,EXTRA_KNOWLEDGE_blood.long,Do you know what the Red Cross does in this country?,Savez-vous ce que fait la Croix-Rouge dans ce pays ?,¿Sabe qué hace la Cruz Roja en este país?,Sabe o que faz a Cruz Vermelha neste país?,question_code,Question long label,,,,
variable,EXTRA_KNOWLEDGE_first_aid.short,First Aid,Premiers secours,Primeros auxilios,Primeiros socorros,question_code,Question short label,,,,
variable,EXTRA_KNOWLEDGE_first_aid.long,Do you know what the Red Cross does in this country?,Savez-vous ce que fait la Croix-Rouge dans ce pays ?,¿Sabe qué hace la Cruz Roja en este país?,Sabe o que faz a Cruz Vermelha neste país?,question_code,Question long label,,,,
variable,EXTRA_KNOWLEDGE_social.short,Social Services,Services sociaux,Servicios sociales,Serviços sociais,question_code,Question short label,,,,
variable,EXTRA_KNOWLEDGE_social.long,Do you know what the Red Cross does in this country?,Savez-vous ce que fait la Croix-Rouge dans ce pays ?,¿Sabe qué hace la Cruz Roja en este país?,Sabe o que faz a Cruz Vermelha neste país?,question_code,Question long label,,,,
variable,EXTRA_KNOWLEDGE_family_reunification.short,Restoring Family Links,Rétablissement des liens familiaux,Restablecimiento del contacto entre familiares,Restabelecimento de laços familiares,question_code,Question short label,,,,
variable,EXTRA_KNOWLEDGE_family_reunification.long,Do you know what the Red Cross does in this country?,Savez-vous ce que fait la Croix-Rouge dans ce pays ?,¿Sabe qué hace la Cruz Roja en este país?,Sabe o que faz a Cruz Vermelha neste país?,question_code,Question long label,,,,
variable,EXTRA_KNOWLEDGE_crisis_management.short,Crisis Management,Gestion de crise,Gestión de crisis,Gestão de crises,question_code,Question short label,,,,
variable,EXTRA_KNOWLEDGE_crisis_management.long,Do you know what the Red Cross does in this country?,Savez-vous ce que fait la Croix-Rouge dans ce pays ?,¿Sabe qué hace la Cruz Roja en este país?,Sabe o que faz a Cruz Vermelha neste país?,question_code,Question long label,,,,
variable,EXTRA_KNOWLEDGE_water.short,Water Rescue Service,Service de sauvetage aquatique,Servicio de rescate acuático,Serviço de salvamento aquático,question_code,Question short label,,,,
variable,EXTRA_KNOWLEDGE_water.long,Do you know what the Red Cross does in this country?,Savez-vous ce que fait la Croix-Rouge dans ce pays ?,¿Sabe qué hace la Cruz Roja en este país?,Sabe o que faz a Cruz Vermelha neste país?,question_code,Question long label,,,,
variable,EXTRA_KNOWLEDGE_food_aid.short,Provision of Food and Material Aid,Fourniture d’aide alimentaire et matérielle,Provisión de ayuda alimentaria y material,Fornecimento de ajuda alimentar e material,question_code,Question short label,,,,
variable,EXTRA_KNOWLEDGE_food_aid.long,Do you know what the Red Cross does in this country?,Savez-vous ce que fait la Croix-Rouge dans ce pays ?,¿Sabe qué hace la Cruz Roja en este país?,Sabe o que faz a Cruz Vermelha neste país?,question_code,Question long label,,,,
variable,EXTRA_KNOWLEDGE_other.short,Other Activities,Autres activités,Otras actividades,Outras atividades,question_code,Question short label,,,,
variable,EXTRA_KNOWLEDGE_other.long,Do you know what the Red Cross does in this country?,Savez-vous ce que fait la Croix-Rouge dans ce pays ?,¿Sabe qué hace la Cruz Roja en este país?,Sabe o que faz a Cruz Vermelha neste país?,question_code,Question long label,,,,
variable,EXTRA_KNOWLEDGE_none.short,Don't know,Ne sais pas,No sabe,Não sei,question_code,Question short label,,,,
variable,EXTRA_KNOWLEDGE_none.long,Do you know what the Red Cross does in this country?,Savez-vous ce que fait la Croix-Rouge dans ce pays ?,¿Sabe qué hace la Cruz Roja en este país?,Sabe o que faz a Cruz Vermelha neste país?,question_code,Question long label,,,,
variable,EXTRA_CHANNEL_Phone.short,Over the phone,Par téléphone,Por teléfono,Por telefone,question_code,Question short label,,,,
variable,EXTRA_CHANNEL_Phone.long,Through which channels did you receive the information?,Par quels canaux avez-vous reçu les informations ?,¿A través de qué canales recibió la información?,Através de que canais recebeu a informação?,question_code,Question long label,,,,
variable,EXTRA_CHANNEL_SMS.short,SMS,SMS,SMS,SMS,question_code,Question short label,,,,
variable,EXTRA_CHANNEL_SMS.long,Through which channels did you receive the information?,Par quels canaux avez-vous reçu les informations ?,¿A través de qué canales recibió la información?,Através de que canais recebeu a informação?,question_code,Question long label,,,,
variable,EXTRA_CHANNEL_email.short,E-mail,E-mail,Correo electrónico,E-mail,question_code,Question short label,,,,
variable,EXTRA_CHANNEL_email.long,Through which channels did you receive the information?,Par quels canaux avez-vous reçu les informations ?,¿A través de qué canales recibió la información?,Através de que canais recebeu a informação?,question_code,Question long label,,,,
variable,EXTRA_CHANNEL_social_media.short,Social Media,Réseaux sociaux,Redes sociales,Redes sociais,question_code,Question short label,,,,
variable,EXTRA_CHANNEL_social_media.long,Through which channels did you receive the information?,Par quels canaux avez-vous reçu les informations ?,¿A través de qué canales recibió la información?,Através de que canais recebeu a informação?,question_code,Question long label,,,,
variable,EXTRA_CHANNEL_meeting.short,Community Meeting,Réunion communautaire,Reunión comunitaria,Reunião comunitária,question_code,Question short label,,,,
variable,EXTRA_CHANNEL_meeting.long,Through which channels did you receive the information?,Par quels canaux avez-vous reçu les informations ?,¿A través de qué canales recibió la información?,Através de que canais recebeu a informação?,question_code,Question long label,,,,
variable,EXTRA_CHANNEL_in_person.short,In-person from NS,En personne par la Société nationale,En persona por la Sociedad Nacional,"Presencialmente, através da Sociedade Nacional",question_code,Question short label,,,,
variable,EXTRA_CHANNEL_in_person.long,Through which channels did you receive the information?,Par quels canaux avez-vous reçu les informations ?,¿A través de qué canales recibió la información?,Através de que canais recebeu a informação?,question_code,Question long label,,,,
variable,EXTRA_CHANNEL_family_friends.short,Word of mouth,Bouche-à-oreille,Boca a boca,Boca a boca,question_code,Question short label,,,,
variable,EXTRA_CHANNEL_family_friends.long,Through which channels did you receive the information?,Par quels canaux avez-vous reçu les informations ?,¿A través de qué canales recibió la información?,Através de que canais recebeu a informação?,question_code,Question long label,,,,
variable,EXTRA_CHANNEL_poster.short,Poster / Flyer,Affiche / dépliant,Cartel / folleto,Cartaz / folheto,question_code,Question short label,,,,
variable,EXTRA_CHANNEL_poster.long,Through which channels did you receive the information?,Par quels canaux avez-vous reçu les informations ?,¿A través de qué canales recibió la información?,Através de que canais recebeu a informação?,question_code,Question long label,,,,
variable,EXTRA_CHANNEL_other.short,Other Channels,Autres canaux,Otros canales,Outros canais,question_code,Question short label,,,,
variable,EXTRA_CHANNEL_other.long,Through which channels did you receive the information?,Par quels canaux avez-vous reçu les informations ?,¿A través de qué canales recibió la información?,Através de que canais recebeu a informação?,question_code,Question long label,,,,
variable,EXTRA_FEEDBACK_knowledge.short,Know How to Submit a Complaint,Sait comment soumettre une plainte,Sabe cómo presentar una queja,Sabe como apresentar uma queixa,question_code,Question short label,,,,
variable,EXTRA_FEEDBACK_knowledge.long,Do you know how to provide feedback or make a complaint to the Red Cross?,Savez-vous comment donner votre avis ou déposer une plainte auprès de la Croix-Rouge ?,¿Sabe cómo dar su opinión o presentar una queja a la Cruz Roja?,Sabe como dar feedback ou apresentar uma queixa à Cruz Vermelha?,question_code,Question long label,,,,
variable,EXTRA_FEEDBACK_comfortable.short,Comfortable to Submit a Complaint,À l’aise pour soumettre une plainte,Se siente cómodo presentando una queja,À vontade para apresentar uma queixa,question_code,Question short label,,,,
variable,EXTRA_FEEDBACK_comfortable.long,Would you feel comfortable providing feedback or making a complaint to the Red Cross staff or volunteer?,Vous sentiriez-vous à l’aise pour donner votre avis ou déposer une plainte auprès du personnel ou d’un volontaire de la Croix-Rouge ?,¿Se sentiría cómodo dando su opinión o presentando una queja al personal o a un voluntario de la Cruz Roja?,Sentir-se-ia à vontade para dar feedback ou apresentar uma queixa a um membro da equipa ou voluntário/a da Cruz Vermelha?,question_code,Question long label,,,,
variable,EXTRA_FEEDBACK_Use.short,Submitted a Complaint,A déjà soumis une plainte,Ha presentado una queja,Apresentou uma queixa,question_code,Question short label,,,,
variable,EXTRA_FEEDBACK_Use.long,Have you ever submitted feedback or a complaint to the Red Cross?,Avez-vous déjà donné votre avis ou déposé une plainte auprès de la Croix-Rouge ?,¿Ha dado alguna vez su opinión o presentado una queja a la Cruz Roja?,Alguma vez apresentou feedback ou uma queixa à Cruz Vermelha?,question_code,Question long label,,,,
variable,EXTRA_FEEDBACK_Response.short,Response Received,Réponse reçue,Respuesta recibida,Recebeu uma resposta,question_code,Question short label,,,,
variable,EXTRA_FEEDBACK_Response.long,Did you receive a response?,Avez-vous reçu une réponse ?,¿Recibió una respuesta?,Recebeu uma resposta?,question_code,Question long label,,,,
